YPet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350
Time [s],0,600,1200,1800,2400.1,3000.1,3600.1,4200.1,4800.1,5400.2,6000.2,6600.2,7200.2,7800.2,8400.3,9000.3,9600.3,10200.3,10800.3,11400.4,12000.4,12600.4,13200.4,13800.4,14400.5,15000.5,15600.5,16200.5,16800.6,17400.6,18000.6,18600.6,19200.6,19800.7,20400.7,21000.7,21600.7,22200.7,22800.8,23400.8,24000.8,24600.8,25200.8,25800.9,26400.9,27000.9,27600.9,28201,28801,29401,30001,30601,31201.1,31801.1,32401.1,33001.1,33601.1,34201.2,34801.2,35401.2,36001.2,36601.2,37201.3,37801.3,38401.3,39001.3,39601.4,40201.4,40801.4,41401.4,42001.4,42601.5,43201.5,43801.5,44401.5,45001.5,45601.6,46201.6,46801.6,47401.6,48001.6,48601.7,49201.7,49801.7,50401.7,51001.7,51601.8,52201.8,52801.8,53401.8,54001.8,54601.9,55201.9,55801.9,56401.9,57001.9,57601.9,58202,58802,59402,60002,60602,61202.1,61802.1,62402.1,63002.1,63602.1,64202.2,64802.2,65402.2,66002.2,66602.2,67202.2,67802.3,68402.3,69002.3,69602.3,70202.3,70802.3,71402.4,72002.4,72602.4,73202.4,73802.4,74402.5,75002.5,75602.5,76202.5,76802.5,77402.6,78002.6,78602.6,79202.6,79802.6,80402.6,81002.7,81602.7,82202.7,82802.7,83402.7,84002.7,84602.8,85202.8,85802.8,86402.8,87002.8,87602.9,88202.9,88802.9,89402.9,90002.9,90603,91203,91803,92403,93003,93603,94203.1,94803.1,95403.1,96003.1,96603.1,97203.2,97803.2,98403.2,99003.2,99603.2,100203.2,100803.3,101403.3,102003.3,102603.3,103203.3,103803.4,104403.4,105003.4,105603.4,106203.4,106803.4,107403.5,108003.5,108603.5,109203.5,109803.5,110403.5,111003.6,111603.6,112203.6,112803.6,113403.6,114003.7,114603.7,115203.7,115803.7,116403.7,117003.8,117603.8,118203.8,118803.8,119403.8,120003.8,120603.9,121203.9,121803.9,122403.9,123003.9,123603.9,124204,124804,125404,126004,126604,127204,127804.1,128404.1,129004.1,129604.1,130204.1,130804.2,131404.2,132004.2,132604.2,133204.2,133804.3,134404.3,135004.3,135604.3,136204.3,136804.4,137404.4,138004.4,138604.4,139204.4,139804.5,140404.5,141004.5,141604.5,142204.5,142804.5,143404.5,144004.6,144604.6,145204.6,145804.6,146404.6,147004.7,147604.7,148204.7,148804.7,149404.7,150004.8,150604.8,151204.8,151804.8,152404.8,153004.8,153604.9,154204.9,154804.9,155404.9,156004.9,156605,157205,157805,158405,159005,159605,160205.1,160805.1,161405.1,162005.1,162605.1,163205.2,163805.2,164405.2,165005.2,165605.2,166205.3,166805.3,167405.3,168005.3,168605.3,169205.3,169805.4,170405.4,171005.4,171605.4,172205.4,172805.4,173405.5,174005.5,174605.5,175205.5,175805.5,176405.5,177005.6,177605.6,178205.6,178805.6,179405.6,180005.7,180605.7,181205.7,181805.7,182405.8,183005.8,183605.8,184205.8,184805.8,185405.8,186005.9,186605.9,187205.9,187805.9,188405.9,189006,189606,190206,190806,191406,192006,192606,193206.1,193806.1,194406.1,195006.1,195606.1,196206.2,196806.2,197406.2,198006.2,198606.2,199206.3,199806.3,200406.3,201006.3,201606.3,202206.3,202806.4,203406.4,204006.4,204606.4,205206.4,205806.5,206406.5,207006.5,207606.5,208206.5,208806.5,209406.6
Temp. [°C],26.9,27,27,27.1,27,27.1,27.1,27.2,27.2,27.2,27.1,27.4,27.2,27.2,27.4,27.4,27.4,27.4,27.4,27.5,27.5,27.5,27.7,27.5,27.5,27.5,27.7,27.5,27.5,27.5,27.5,27.5,27.7,27.5,27.5,27.5,27.7,27.5,27.7,27.5,27.5,27.7,27.5,27.4,27.3,27.2,27.1,27.1,27,27,26.9,26.7,26.7,26.9,26.9,26.7,26.6,26.7,26.7,26.6,26.6,26.6,26.6,26.6,26.6,26.5,26.5,26.5,26.5,26.5,26.5,26.4,26.5,26.4,26.4,26.5,26.5,26.5,26.4,26.2,26.2,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.2,26.1,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.1,26.2,26.2,26.2,26.4,26.1,26.1,26.2,26.2,26.2,26.2,26.2,26.1,26.2,26.2,26.2,26.2,26.4,26.4,26.4,26.5,26.5,26.6,26.6,26.7,26.9,26.9,26.9,27,27,27.1,27,27.2,27.2,27.1,27.1,27.2,27.2,27.4,27.1,27.1,27.4,27.4,27.2,27.4,27.5,27.4,27.5,27.2,27.4,27.2,27.2,27.4,27.4,27.2,27.2,27.1,27.2,27.1,27.2,27.4,27.4,27.4,27.5,27.5,27.7,27.5,27.7,27.7,27.8,27.7,27.5,27.5,27.5,27.4,27.2,27.4,27.4,27.4,27.4,27.4,27.4,27.2,27.2,27.2,27.2,27,27,27,27,27,26.9,26.7,26.9,26.7,26.9,26.7,26.7,26.7,26.7,26.6,26.6,26.6,26.6,26.6,26.5,26.6,26.6,26.6,26.5,26.6,26.6,26.5,26.4,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.4,26.5,26.5,26.5,26.4,26.4,26.2,26.4,26.4,26.5,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.4,26.2,26.4,26.2,26.2,26.4,26.2,26.1,26.1,26.2,26.4,26.2,26.2,26.2,26.2,26.1,26.2,26.2,26.2,26.1,26.1,26.2,26.2,26.1,26.1,26.1,26.1,25.9,26.2,26.1,26.1,26.2,26.1,26.2,26.2,26.1,26.2,26.2,26.2,26.2,26.1,26.1,26.2,26.2,26.2,26.2,26.2,26.1,26.1,26.2,26.1,26.1,26.2,26.1,26.1,26.1,26.2,25.9,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,25.8,26.1,26.1,26.1,26.1,26.1,25.9,26.1,25.9,26.1,25.9,26.1,26.1,26.1,26.1,25.9,25.9,26.1,26.1,26.1,26.1,26.1,25.9,26.1,26.1,26.1,26.1,26.1,25.9,26.1,25.9,26.1,26.1,25.9,26.1,25.9,26.1,25.9,26.1,26.1,26.1,25.9,26.1,25.8,26.1,25.9
A1,98,82,88,85,92,91,99,93,100,96,96,88,87,85,86,93,84,84,91,88,81,92,81,81,82,91,84,79,83,87,81,83,90,78,83,83,91,83,81,87,91,88,82,84,92,89,87,82,85,79,84,78,79,84,85,82,83,82,94,82,81,82,87,88,80,89,79,85,88,78,89,80,79,86,78,82,80,79,81,81,74,80,86,88,79,81,83,87,86,82,81,87,78,79,86,79,86,80,84,86,84,78,86,82,78,81,84,79,81,81,85,81,81,80,84,87,82,85,79,81,90,82,89,81,85,79,88,83,88,84,86,85,84,88,84,89,79,83,85,85,88,81,80,80,87,84,87,78,89,82,84,80,87,81,78,88,86,81,83,84,87,88,78,88,89,92,80,81,85,88,84,80,83,88,82,85,81,88,84,79,85,88,81,86,79,86,81,83,81,85,85,84,82,78,85,76,83,78,84,77,78,82,80,76,84,79,78,87,79,81,87,79,82,85,80,88,83,80,85,76,81,81,83,82,82,75,79,86,83,78,85,79,77,82,82,80,82,80,78,76,82,80,78,82,74,78,84,79,76,86,79,80,78,79,81,71,79,75,75,78,85,77,81,79,82,76,74,78,75,77,80,73,78,82,72,77,83,79,79,78,79,77,77,78,75,79,77,74,75,87,73,78,84,80,78,76,82,77,72,74,80,76,74,75,77,73,71,76,72,73,83,75,75,82,77,78,74,75,78,73,74,77,75,72,82,80,77,75,75,79,72,79,86,75,82,77,77,82,73,77,86,72,79,75,77,78,72,76,76,72
B1,99,86,93,86,96,88,101,94,102,96,97,97,97,92,96,101,99,95,99,101,92,90,83,84,83,89,84,83,88,83,86,84,87,82,84,85,89,89,83,84,90,88,85,83,92,87,87,83,85,82,88,82,82,85,85,85,84,85,92,82,81,83,84,86,84,90,79,86,90,83,88,83,81,91,77,87,86,82,83,82,79,82,85,89,80,83,84,82,83,85,83,89,80,81,89,79,90,82,88,85,88,80,83,85,77,81,92,82,83,86,85,85,83,85,85,89,79,88,86,86,89,81,88,86,86,82,90,82,88,86,85,87,83,88,81,89,80,84,89,83,90,82,83,86,88,87,90,80,89,85,83,81,90,85,84,95,87,86,85,82,83,90,82,87,90,90,84,85,84,87,87,87,85,91,88,87,83,91,86,82,86,91,81,85,78,86,84,86,88,89,89,88,86,80,86,83,85,86,84,83,83,89,86,83,83,82,83,87,83,86,86,82,86,88,85,90,82,82,88,82,88,82,81,87,84,79,82,80,88,79,87,78,80,86,80,84,83,79,78,78,83,82,80,81,79,82,89,78,80,86,80,81,80,86,79,79,82,76,80,81,87,82,81,80,82,79,76,79,77,82,81,74,84,84,80,77,86,80,82,79,81,79,79,83,73,77,81,74,82,85,78,76,84,82,81,80,82,83,77,76,80,77,77,79,80,81,77,85,76,77,82,80,79,89,78,83,79,79,80,78,78,78,80,81,85,85,76,79,80,85,78,81,84,77,81,78,82,82,77,79,83,80,82,75,83,83,77,82,79,78
C1,11291,10850,10736,10531,10379,10474,10557,10427,10522,10527,10398,10435,10392,10528,10269,10410,10373,10370,10420,10334,10195,10107,10012,10023,9889,9801,9825,9699,9525,9401,9405,9103,9177,8990,8899,8893,8794,8667,8611,8497,8489,8365,8326,8263,8170,8052,8066,7943,7943,7913,7814,7691,7674,7522,7529,7517,7508,7398,7360,7245,7273,7225,7166,7066,7024,7089,6989,7032,6928,6919,6835,6794,6684,6707,6660,6683,6660,6605,6578,6560,6430,6325,6536,6394,6291,6270,6276,6251,6228,6089,6106,6147,6136,6030,6119,5898,6014,5948,5876,5863,5808,5787,5757,5752,5749,5768,5749,5633,5613,5624,5623,5616,5621,5590,5551,5434,5441,5582,5429,5450,5384,5417,5324,5339,5336,5210,5278,5215,5278,5211,5219,5138,5142,5109,5088,5099,5008,5082,5020,4937,4988,4961,4918,4920,4875,4926,4990,4834,4852,4873,4824,4811,4860,4773,4751,4790,4770,4727,4725,4685,4714,4712,4709,4714,4676,4667,4574,4597,4661,4596,4552,4613,4605,4545,4611,4496,4544,4500,4596,4487,4516,4517,4464,4505,4433,4504,4418,4456,4461,4496,4395,4416,4426,4420,4395,4415,4429,4380,4426,4393,4352,4343,4354,4393,4339,4377,4339,4423,4403,4384,4358,4325,4435,4329,4318,4322,4326,4287,4342,4328,4277,4365,4357,4327,4269,4242,4263,4278,4316,4267,4266,4309,4285,4340,4232,4291,4291,4236,4290,4207,4261,4261,4239,4261,4187,4244,4257,4245,4248,4255,4265,4256,4264,4193,4193,4230,4266,4230,4224,4253,4304,4252,4253,4233,4248,4211,4193,4254,4273,4236,4215,4223,4228,4235,4219,4209,4219,4235,4220,4257,4206,4168,4274,4260,4242,4228,4183,4230,4237,4266,4220,4194,4296,4236,4196,4266,4240,4226,4178,4214,4190,4169,4258,4273,4186,4268,4167,4190,4238,4163,4218,4193,4203,4214,4206,4237,4239,4238,4149,4194,4179,4222,4221,4200,4177,4271,4258,4235,4201,4271,4251,4238,4272,4220,4236,4186,4230,4216,4235,4182,4312,4206,4216,4238,4290,4241,4190,4279,4220,4199
D1,5919,5704,5665,5616,5626,5644,5592,5549,5479,5620,5614,5594,5618,5608,5566,5591,5573,5655,5637,5742,5673,5580,5529,5674,5549,5649,5576,5537,5542,5546,5610,5581,5575,5541,5529,5485,5537,5516,5464,5448,5501,5531,5503,5442,5469,5469,5461,5456,5450,5420,5390,5403,5364,5451,5397,5356,5385,5314,5385,5353,5305,5314,5442,5349,5361,5464,5385,5400,5383,5394,5360,5381,5329,5389,5354,5349,5326,5279,5371,5342,5291,5270,5343,5370,5318,5390,5341,5329,5337,5308,5322,5316,5325,5336,5341,5314,5308,5271,5313,5233,5324,5214,5266,5310,5263,5291,5245,5224,5203,5258,5221,5207,5258,5211,5309,5156,5184,5226,5203,5219,5233,5097,5215,5112,5162,5192,5220,5187,5158,5150,5105,5112,5050,5143,5092,5116,5043,5034,5067,5089,5050,5061,5011,5084,5067,5032,5105,5052,5022,5001,4981,4984,5052,5040,5020,5068,5075,5037,5033,5034,5021,5005,5003,5032,5020,4987,4956,4976,5009,4977,5000,4992,4926,4962,5019,4983,5008,5004,4921,4925,4992,4943,4921,4968,4940,4941,4912,5015,4943,5004,4926,5005,5004,4950,5043,4986,5088,4988,4990,4991,4969,5052,4982,5012,5001,5028,5019,4985,5044,5060,5056,5039,5045,4996,4972,5070,5035,5011,5035,5002,4992,5078,5025,4992,5016,4989,5000,5005,5050,5000,4999,4991,4980,5041,5046,4984,5070,5012,5032,4967,5084,4986,5074,5082,4986,5016,5032,4980,5008,5086,5046,5005,5020,5001,4928,4904,4910,4845,4815,4798,4880,4901,4845,4861,4883,4848,4825,4851,4825,4903,4896,4884,4849,4850,4892,4826,4893,4865,4817,4885,4845,4874,4880,4867,4914,4919,4897,4965,4954,5061,5009,5006,5000,4984,4946,4978,5031,5033,5063,4982,4999,5085,5033,4995,5003,5014,4989,4984,4884,4942,4914,4917,4897,4849,4801,4794,4838,4874,4883,4809,4832,4795,4848,4791,4854,4882,4865,4745,4697,4707,4676,4565,4521,4519,4507,4517,4556,4576,4532,4586,4586,4687,4708,4733,4736,4749,4753,4764,4699,4725
E1,6041,5794,5767,5687,5702,5725,5702,5698,5673,5646,5727,5726,5779,5690,5794,5716,5705,5788,5764,5698,5742,5711,5689,5713,5655,5714,5664,5682,5637,5688,5642,5668,5667,5610,5704,5622,5643,5628,5620,5592,5606,5635,5604,5546,5573,5514,5526,5525,5609,5544,5584,5515,5526,5537,5493,5497,5511,5544,5497,5423,5418,5452,5537,5415,5526,5474,5474,5491,5466,5430,5509,5455,5432,5470,5423,5455,5449,5398,5483,5406,5309,5372,5378,5380,5383,5347,5315,5412,5432,5397,5367,5372,5354,5341,5379,5298,5336,5329,5479,5344,5372,5335,5348,5314,5325,5312,5310,5279,5352,5268,5330,5364,5327,5300,5332,5298,5297,5244,5291,5229,5311,5224,5343,5220,5233,5211,5243,5142,5221,5148,5242,5140,5192,5228,5121,5233,5090,5141,5180,5036,5225,5106,5107,5088,5094,5012,5126,5046,5085,5040,5125,5071,5024,5130,5122,5102,5119,5090,5147,5017,5106,5019,5047,5049,5141,5002,5063,5010,5015,5071,4918,4999,4969,4970,4990,4970,4958,5019,4963,4936,5018,4995,4943,4982,4963,4964,4939,4935,4947,4976,4988,4978,5018,4928,5010,4936,4971,4920,4900,4991,4874,4941,4960,4993,4972,5052,4954,4936,4983,4936,4985,5013,4997,4953,4929,4974,4960,4876,4957,4990,4950,4940,5004,4930,4940,4962,4976,4927,4966,4948,4996,5041,4969,5069,5012,4940,5028,4913,4991,4981,5001,5004,4967,5002,5035,5078,5135,5057,5060,5044,5074,5078,5087,5128,5085,5099,5094,5043,5060,5026,5072,5047,5139,5069,5117,5085,5126,5097,5034,5135,5089,5122,5107,5050,5039,5123,5090,5089,5131,5123,5074,5040,5035,5020,4949,4873,4852,4722,4739,4715,4679,4689,4644,4610,4590,4647,4638,4544,4577,4558,4599,4607,4549,4633,4588,4544,4599,4540,4443,4466,4490,4461,4474,4508,4508,4476,4427,4453,4318,4300,4363,4273,4387,4490,4484,4479,4530,4585,4671,4629,4629,4718,4784,4755,4813,4714,4651,4597,4429,4381,4363,4388,4505,4445,4521,4646,4554,4753,4719,4815
F1,5519,5321,5332,5268,5258,5263,5255,5215,5234,5220,5169,5215,5246,5224,5268,5297,5317,5254,5365,5266,5278,5211,5230,5323,5260,5333,5241,5250,5248,5257,5265,5211,5224,5219,5212,5233,5246,5204,5203,5218,5275,5167,5071,5119,5119,5129,5061,5090,5153,5088,5139,5056,5061,5119,5124,5135,5096,5068,5126,5006,5022,5126,5082,5095,5044,5100,5030,5104,5127,5018,5089,5021,5023,5115,5008,5038,4992,4992,5002,5052,4996,5008,5050,4999,4935,5043,5005,5050,5024,4989,5016,5055,4930,4982,5018,4910,5008,4959,4924,4935,4996,4974,5008,4944,4943,4965,4948,4934,4959,4887,4879,4998,4916,4898,4960,4880,4900,4910,4878,4936,4989,4865,4903,4886,4921,4845,4876,4877,4819,4832,4898,4819,4808,4946,4850,4863,4767,4754,4767,4771,4825,4795,4832,4802,4804,4799,4802,4698,4824,4789,4799,4731,4757,4767,4757,4799,4714,4747,4819,4740,4816,4729,4764,4741,4758,4757,4716,4737,4734,4746,4735,4683,4664,4701,4684,4677,4736,4713,4751,4659,4671,4653,4593,4744,4682,4697,4615,4601,4620,4708,4609,4630,4657,4613,4726,4605,4702,4708,4723,4668,4630,4677,4638,4660,4629,4696,4649,4676,4607,4712,4636,4758,4693,4682,4657,4657,4682,4692,4669,4640,4620,4672,4756,4743,4710,4673,4631,4615,4656,4661,4690,4675,4625,4732,4668,4639,4657,4690,4650,4652,4712,4704,4628,4697,4631,4658,4645,4626,4647,4719,4689,4621,4679,4629,4653,4644,4685,4684,4626,4653,4663,4600,4635,4602,4745,4642,4602,4549,4569,4561,4547,4544,4533,4525,4505,4482,4450,4463,4405,4488,4481,4406,4434,4427,4386,4368,4362,4358,4311,4281,4303,4268,4342,4283,4265,4304,4325,4297,4257,4280,4328,4331,4294,4330,4339,4323,4368,4377,4352,4414,4427,4487,4431,4482,4492,4591,4641,4641,4685,4603,4534,4488,4357,4351,4392,4495,4592,4573,4568,4509,4396,4353,4324,4288,4239,4162,4136,4125,4103,4124,4146,4097,4125,4198,4247,4275,4330,4418,4517,4540
G1,5883,5607,5644,5509,5584,5563,5486,5451,5515,5569,5478,5553,5459,5476,5546,5548,5524,5536,5493,5555,5516,5598,5525,5534,5550,5557,5552,5498,5518,5495,5509,5454,5552,5517,5493,5446,5419,5494,5443,5456,5468,5477,5394,5460,5465,5452,5359,5401,5424,5394,5472,5354,5446,5431,5450,5470,5385,5420,5457,5390,5403,5389,5396,5464,5365,5406,5421,5431,5397,5331,5442,5424,5386,5403,5242,5384,5391,5362,5414,5373,5375,5372,5382,5406,5322,5377,5336,5399,5382,5300,5392,5374,5341,5401,5398,5368,5341,5292,5396,5304,5432,5293,5349,5326,5368,5251,5334,5351,5337,5313,5360,5372,5332,5363,5335,5378,5303,5372,5314,5318,5375,5218,5273,5296,5260,5255,5299,5237,5278,5317,5309,5181,5211,5247,5237,5239,5142,5201,5143,5130,5255,5212,5158,5240,5208,5137,5166,5204,5121,5164,5167,5142,5161,5182,5156,5192,5146,5183,5178,5124,5192,5148,5070,5102,5196,5152,5109,5123,5079,5111,5126,5054,5089,5090,5103,5022,5143,5068,5089,5134,5123,5067,5042,5057,5064,5068,5005,5016,5116,5058,5063,5121,5112,5071,5073,5064,5096,5021,5093,5073,4964,5065,5058,5099,4972,5041,5039,5133,5068,5062,5069,5120,5038,4985,5066,5128,4997,4981,4988,5126,4994,5038,5098,4997,4994,5049,4980,4947,5026,4979,5002,5014,5017,5040,5034,4960,4968,4949,4986,4973,4906,4955,4948,4970,4906,4999,5083,4972,5012,4968,4968,4927,4970,4985,4989,4919,4957,4954,4999,4856,4973,4980,4955,4947,4900,4897,4979,4960,4993,4964,4993,4987,4969,4901,4920,4913,4898,4872,4949,5012,4897,4886,4922,4950,4928,4887,4892,4872,4912,4941,4841,4860,4959,4893,4893,4902,4867,4827,4894,4862,4937,4837,4881,4921,4820,4858,4850,4821,4834,4782,4898,4870,4861,4879,4823,4840,4804,4852,4824,4833,4860,4935,4810,4766,4878,4838,4830,4862,4811,4835,4833,4820,4877,4761,4823,4827,4833,4880,4735,4809,4800,4787,4780,4811,4784,4795,4811,4855,4738,4809
H1,5928,5555,5655,5572,5550,5625,5547,5596,5611,5568,5563,5569,5525,5596,5589,5645,5569,5609,5575,5639,5616,5559,5590,5578,5531,5648,5591,5542,5516,5535,5578,5494,5597,5529,5533,5484,5587,5505,5471,5471,5568,5526,5490,5456,5519,5561,5489,5489,5506,5570,5468,5480,5447,5394,5462,5435,5495,5435,5573,5457,5456,5400,5528,5484,5388,5490,5372,5450,5457,5410,5483,5401,5393,5442,5410,5387,5397,5431,5339,5388,5405,5390,5389,5411,5394,5379,5374,5425,5376,5340,5452,5342,5362,5347,5365,5309,5368,5400,5302,5359,5389,5354,5342,5326,5363,5351,5259,5307,5321,5337,5343,5338,5387,5373,5409,5343,5285,5299,5300,5325,5362,5290,5312,5247,5352,5244,5293,5297,5290,5217,5232,5211,5154,5245,5238,5299,5210,5210,5210,5263,5218,5146,5139,5176,5178,5145,5168,5130,5160,5185,5153,5247,5213,5184,5103,5215,5117,5161,5126,5161,5215,5154,5142,5100,5140,5130,5046,5143,5105,5094,5104,5053,4961,5004,5164,5065,5124,5075,5104,5083,5016,5048,5044,5028,5085,5095,5045,5135,5080,5082,5091,5140,5074,5018,5083,5066,5092,5057,5098,5048,4793,5061,5070,5110,5057,5086,5025,5005,5078,5115,5103,4945,5054,5024,5071,5047,5040,4970,5000,5014,4958,5068,4989,4988,4958,5006,4991,5064,5014,4978,5023,4938,5021,4987,4971,5021,5029,4989,4990,5022,4980,4927,4967,4996,4988,5031,4917,4956,4999,4996,5005,4926,4946,5032,4954,4967,4950,4948,4953,4888,4906,4938,4953,4939,4931,4947,4914,4996,4913,4921,4954,4927,4927,4901,4878,4834,4939,4922,4886,4928,4925,4894,4979,4901,4887,4931,4906,4866,4914,4878,4859,4916,4911,4848,4869,4911,4852,4845,4864,4870,4882,4846,4858,4879,4866,4877,4840,4879,4864,4802,4834,4901,4840,4863,4827,4869,4857,4824,4911,4789,4787,4848,4865,4794,4843,4873,4806,4879,4753,4824,4794,4822,4869,4788,4866,4763,4821,4800,4855,4810,4864,4753,4746,4877,4785,4786,4811,4799,4808,4831
