,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Background,0.01nM-seeds,0.1nM-seeds,1nM-seeds,5nM-seeds,10nM-seeds,50nM-seeds,BLB,Agg-bu,WT-NB1,WT-NB2,WT-NB3,WT-NB4,WT-delta-intron-NB41,WT-delta-intron-NB42,WT-delta-intron-NB43,WT-delta-intron-NB44,HdhQ150-NB-61,HdhQ150-NB-62,HdhQ150-NB-63,HdhQ150-NB-64,Q150delta-intron-NB21,Q150delta-intron-NB22,Q150delta-intron-NB23
B,CyPet-only,0.01nM-seeds,0.1nM-seeds,1nM-seeds,5nM-seeds,10nM-seeds,50nM-seeds,BLB,Agg-bu,WT-NB1,WT-NB2,WT-NB3,WT-NB4,WT-delta-intron-NB41,WT-delta-intron-NB42,WT-delta-intron-NB43,WT-delta-intron-NB44,HdhQ150-NB-61,HdhQ150-NB-62,HdhQ150-NB-63,HdhQ150-NB-64,Q150delta-intron-NB21,Q150delta-intron-NB22,Q150delta-intron-NB23
C,YPet-only,0.01nM-seeds,0.1nM-seeds,1nM-seeds,5nM-seeds,10nM-seeds,50nM-seeds,BLB,Agg-bu,WT-NB1,WT-NB2,WT-NB3,WT-NB4,WT-delta-intron-NB41,WT-delta-intron-NB42,WT-delta-intron-NB43,WT-delta-intron-NB44,HdhQ150-NB-61,HdhQ150-NB-62,HdhQ150-NB-63,HdhQ150-NB-64,Q150delta-intron-NB21,Q150delta-intron-NB22,Q150delta-intron-NB23
D,Q150delta-intron-NB24,WT-2w-5,WT-2w-6,WT-2w-7,WT-2w-8,WT-delta-intron-2w-45,WT-delta-intron-2w-46,WT-delta-intron-2w-47,WT-delta-intron-2w-48,HdhQ150-2w-65,HdhQ150-2w-66,HdhQ150-2w-67,HdhQ150-2w-68,Q150delta-intron-2w-25,Q150delta-intron-2w-26,Q150delta-intron-2w-27,Q150delta-intron-2w-28,WT-1mon-9,WT-1mon-10,WT-1mon-11,WT-1mon-12,WT-delta-intron-1mon-49,WT-delta-intron-1mon-50,WT-delta-intron-1mon-51
E,Q150delta-intron-NB24,WT-2w-5,WT-2w-6,WT-2w-7,WT-2w-8,WT-delta-intron-2w-45,WT-delta-intron-2w-46,WT-delta-intron-2w-47,WT-delta-intron-2w-48,HdhQ150-2w-65,HdhQ150-2w-66,HdhQ150-2w-67,HdhQ150-2w-68,Q150delta-intron-2w-25,Q150delta-intron-2w-26,Q150delta-intron-2w-27,Q150delta-intron-2w-28,WT-1mon-9,WT-1mon-10,WT-1mon-11,WT-1mon-12,WT-delta-intron-1mon-49,WT-delta-intron-1mon-50,WT-delta-intron-1mon-51
F,Q150delta-intron-NB24,WT-2w-5,WT-2w-6,WT-2w-7,WT-2w-8,WT-delta-intron-2w-45,WT-delta-intron-2w-46,WT-delta-intron-2w-47,WT-delta-intron-2w-48,HdhQ150-2w-65,HdhQ150-2w-66,HdhQ150-2w-67,HdhQ150-2w-68,Q150delta-intron-2w-25,Q150delta-intron-2w-26,Q150delta-intron-2w-27,Q150delta-intron-2w-28,WT-1mon-9,WT-1mon-10,WT-1mon-11,WT-1mon-12,WT-delta-intron-1mon-49,WT-delta-intron-1mon-50,WT-delta-intron-1mon-51
G,WT-delta-intron-1mon-52,HdhQ150-1mon-69,HdhQ150-1mon-70,HdhQ150-1mon-71,HdhQ150-1mon-72,Q150delta-intron-1mon-29,Q150delta-intron-1mon-30,Q150delta-intron-1mon-31,Q150delta-intron-1mon-32,WT-1.5mon-13,WT-1.5mon-14,WT-1.5mon-15,WT-1.5mon-16,WT-delta-intron-1.5mon-53,WT-delta-intron-1.5mon-54,WT-delta-intron-1.5mon-55,WT-delta-intron-1.5mon-56,HdhQ150-1.5mon-73,HdhQ150-1.5mon-74,HdhQ150-1.5mon-75,HdhQ150-1.5mon-76,Q150delta-intron-1.5mon-33,Q150delta-intron-1.5mon-34,Q150delta-intron-1.5mon-35
H,WT-delta-intron-1mon-52,HdhQ150-1mon-69,HdhQ150-1mon-70,HdhQ150-1mon-71,HdhQ150-1mon-72,Q150delta-intron-1mon-29,Q150delta-intron-1mon-30,Q150delta-intron-1mon-31,Q150delta-intron-1mon-32,WT-1.5mon-13,WT-1.5mon-14,WT-1.5mon-15,WT-1.5mon-16,WT-delta-intron-1.5mon-53,WT-delta-intron-1.5mon-54,WT-delta-intron-1.5mon-55,WT-delta-intron-1.5mon-56,HdhQ150-1.5mon-73,HdhQ150-1.5mon-74,HdhQ150-1.5mon-75,HdhQ150-1.5mon-76,Q150delta-intron-1.5mon-33,Q150delta-intron-1.5mon-34,Q150delta-intron-1.5mon-35
I,WT-delta-intron-1mon-52,HdhQ150-1mon-69,HdhQ150-1mon-70,HdhQ150-1mon-71,HdhQ150-1mon-72,Q150delta-intron-1mon-29,Q150delta-intron-1mon-30,Q150delta-intron-1mon-31,Q150delta-intron-1mon-32,WT-1.5mon-13,WT-1.5mon-14,WT-1.5mon-15,WT-1.5mon-16,WT-delta-intron-1.5mon-53,WT-delta-intron-1.5mon-54,WT-delta-intron-1.5mon-55,WT-delta-intron-1.5mon-56,HdhQ150-1.5mon-73,HdhQ150-1.5mon-74,HdhQ150-1.5mon-75,HdhQ150-1.5mon-76,Q150delta-intron-1.5mon-33,Q150delta-intron-1.5mon-34,Q150delta-intron-1.5mon-35
J,Q150delta-intron-1.5mon-36,WT-6mon-17,WT-6mon-18,WT-6mon-19,WT-6mon-20,WT-delta-intron-6mon-57,WT-delta-intron-6mon-58,WT-delta-intron-6mon-59,WT-delta-intron-6mon-60,HdhQ150-6mon-77,HdhQ150-6mon-78,HdhQ150-6mon-79,HdhQ150-6mon-80,Q150delta-intron-6mon-37,Q150delta-intron-6mon-38,Q150delta-intron-6mon-39,Q150delta-intron-6mon-40,,,,,,,
